"La Ciotat (La Ciotat)",43.1766,5.61303,5
"La Ciotat (Port Vieux) (La Ciotat)",43.1723,5.61075,5
"Vrsar Marina (Vrsar)",45.1506,13.5966,5
"Marina Valalta (Rovinj)",45.1275,13.6234,5
"Club Náutico Cases d´Alcanar (Alcanar)",40.5515,0.532087,5
"La Caletta (La Caletta)",40.6106,9.75517,5
"Club Nàutic Sant Carles de la Ràpita (Sant Carles ",40.6141,0.59781,6
"Club Nàutic Ampolla (l'Ampolla)",40.8092,0.710098,5
"Lakeside Villa Marina (Ban Khlong Khet)",13.4822,100.987,5
"Club Nàutic l´Ametlla de Mar (l'Ametlla de Mar)",40.8792,0.802517,5
"Puerto Deportivo Port Calafat (l'Ametlla de Mar)",40.9272,0.85055,5
"Club Nautico Hospitalet-Vandellos (l'Hospitalet de",40.9876,0.92768,5
"Club Nàutic Cambrils (Cambrils)",41.0624,1.06246,5
"Club Náutico de Salou (Salou)",41.0736,1.12994,5
"Puerto Deportivo de Tarragona (Tarragona)",41.1087,1.25343,5
"Port Torredembarra (Torredembarra)",41.1336,1.40194,5
"Port Esportiu Roda de Barà (Roda de Barà)",41.168,1.48006,5
"Club Náutico de Coma-Ruga (Tarragona)",41.178,1.52699,5
"Milta Bodrum Marina (Bodrum)",37.0324,27.4256,5
"Port Esportiu Segur de Calafell (Segur de Calafell",41.1851,1.60744,5
"Sögüt (Marmaris)",36.6588,28.0835,5
"Datça (Datça)",36.7289,27.6911,5
"Marti Marina (Marmaris)",36.77,28.1254,5
"Amalfi (Salerno)",40.6317,14.5988,5
"Club Nautico Vilanova (Vilanova i la Geltrú)",41.2106,1.73266,5
"Marmaris Netsel Marina (Marmaris)",36.8512,28.2773,5
"Port Esportiu D´Aiguadolç (Sitges)",41.2333,1.82515,5
"Tamar Marine Pty Ltd (Royal Park)",-41.4382,147.128,5
"Marmaris Yacht Marine (Marmaris)",36.8207,28.3102,5
"Port de Garraf (Barcelona)",41.2493,1.90031,5
"Göçek (Mu?la)",36.7525,28.9406,5
"Port Ginesta (Castelldefels)",41.2575,1.92402,5
"Port Göçek Marina (Mu?la)",36.748,28.9413,5
"Marina Port Vell (Barcelona)",41.3715,2.18411,5
"Fethiye Ece Marina (Mu?la)",36.625,29.0995,5
"Reial Club Marítim de Barcelona (Barcelona)",41.375,2.18333,5
"Kalkan (Kalkan)",36.2618,29.4143,5
"Port Olímpic de Barcelona (Barcelona)",41.3852,2.20044,5
"Port Masnou (Barcelona)",41.475,2.31281,5
"Port de Premià de Mar (Premià de Mar)",41.488,2.36532,5
"Port de Mataró (Mataró)",41.5277,2.4451,5
"Port Balís (Barcelona)",41.557,2.50656,5
"Harbour Ships (Mossel Bay)",-34.1785,22.1473,5
"Club Nàutic d'Arenys de Mar (Arenys de Mar)",41.5758,2.55913,5
"Marina de Badalona (Badalona)",41.4327,2.24267,5
"Port Blanes (Blanes)",41.6733,2.79699,5
"Club Nàutic Sant Feliu de Guíxols (Sant Feliu de G",41.7787,3.03386,5
"Port D´Aro (Platja d'Aro)",41.8013,3.06528,5
"Spétsai (Baltiza Creek) (Spétsai)",37.2624,23.1645,5
"ACI Marina Rovinj (Rovinj)",45.0762,13.634,5
"Marina Palamós (Palamós)",41.8452,3.13628,5
"Porto Kheli (Portochélion)",37.3011,23.1438,5
"Port de Llafranc (Llafranc)",41.8932,3.19621,5
"Port Aiguablava (Begur)",41.938,3.21705,5
"Koiládia (Kranídion)",37.4163,23.1277,5
"Pula ACI Marina (Pula)",44.8735,13.8448,5
"Khaidhari (Asíni)",37.5352,22.9185,5
"Veruda Marina (Pula)",44.8382,13.8405,5
"Toló (Tolón)",37.5147,22.8574,5
"Navplion (Náfplio)",37.5671,22.7931,5
"Marina Pomer (Pula)",44.8222,13.9036,5
"Astrous (Náfplio)",37.414,22.7663,5
"Leonídhion (Leonídion)",37.1456,22.8932,5
"Luka Rabac (Rabac)",45.0772,14.1588,7
"Ieraka (Limín Iérakos)",36.7861,23.0837,5
"Plominski Zaljev (Plomin)",45.1296,14.184,5
"Monemvasía (Yéfira)",36.686,23.0387,5
"Kas (Ka?)",36.1973,29.6421,5
"Setur Finike Marina (Finike)",36.2944,30.152,5
"Park Kemer Marina (Kemer)",36.6014,30.5724,5
"Setur Antalya Marina (Antalya)",36.8328,30.6072,6
"Antalya Kaleçi Marina (Antalya)",36.8841,30.7014,5
"Alanya Yeni Liman (Alanya)",36.5578,31.9497,5
"Mersin (Mercin)",36.7707,34.5743,5
"Port Estartit (l'Estartit)",42.0523,3.20509,5
"Delta Marina (Kyrenia)",35.3415,33.3383,5
"Port L´Escala (l'Escala)",42.1193,3.14548,5
"Paphos (Paphos)",34.7517,32.4067,5
"Marina d´Empuriabrava (Girona)",42.2479,3.13303,5
"St Raphael Marina (Limassol)",34.7091,33.1667,5
"Agropoli (Agropoli)",40.3522,14.9822,6
"Larnaca (Larnaca)",34.9183,33.6433,5
